keys;en;ru
cherv;Cherv;Черв
starry;Starry;Звезданутый
swirly;Swirly;Скрученыш
chomper;Chomper;Откусатель
quagmire;Quagmire;Затруднения
quirk_narrow_mind_title;Narrow Mind;Узколобие
quirk_narrow_mind_desc;SWITCHES TARGET WHEN HIT;МЕНЯЕТ ЦЕЛЬ ПРИ ПОЛУЧЕНИИ УРОНА
quirk_reinforcement_title;Reinforcements;Подкрепления
quirk_reinforcement_desc;CALLS FOR CHERVS (MAX. 3 TIMES);ПРИЗЫВАЕТ ЧЕРВОВ (НЕ БОЛЬШЕ 3-Х РАЗ)
quirk_order_title;Order;Приказ
quirk_order_desc;CHERV ATTACKS WHEN HAT IS USED ON IT;ЧЕРВ АТАКУЕТ ПРИ ПРИМЕНЕНИИ НА НЕГО ШЛЯПЫ
quirk_offensive_title;Offensive;Наступление
quirk_offensive_desc;ACTION: +1 POWER TO CHERVS, THEY FOCUS ON ONE TARGET;ДЕЙСТВИЕ: +1 МОЩЬ ЧЕРВАМ, КАЖДЫЙ ФОКУСИРУЕТСЯ НА ОДНОЙ ЦЕЛИ
quirk_slippery_title;Slippery type;Скользкий тип
quirk_slippery_desc;END OF TURN: +1 SPEED;КОНЕЦ ХОДА: +1 СКОРОСТИ
quirk_hit_and_run_title;Hit and Run;Бей и беги
quirk_hit_and_run_desc;RUNS WHEN IN DANGER;БЕЖИТ ОТ ОПАСНОСТИ
quirk_two_faced_title;Two-faced;Двуличие
quirk_two_faced_desc;WEARS 2 HATS;НОСИТ ДВЕ ШЛЯПЫ
quirk_weapon_surplus_title;Weapon Surplus;Оружейный Остаток
quirk_weapon_surplus_desc;ACTION: TRANSFER WEAPON TO ALLY;ДЕЙСТВИЕ: ПЕРЕДАТЬ ОРУЖИЕ СОЮЗНИКУ
quirk_beat_up_title;Beat up;Избить до смерти
quirk_beat_up_desc;ATTACKS ENEMY WITH LEAST HEALTH;АТАКУЕТ САМОГО ХИЛОГО ПРОТИВНИКА
