keys;en;ru
sword_name;Sword;Меч
sword_desc;INFLICTS {} HARM;ПРИЧИНЯЕТ {} ВРЕДА
no_weapon_name;Fist;Кулак
no_weapon_desc;INFLICTS {} HARM;ПРИЧИНЯЕТ {} ВРЕДА
pipe_name;Pipe;Труба
pipe_desc;{} HARM, {} HARM INSTEAD IF USED LAST TURN;{} ВРЕДА, {} ВРЕДА ЕСЛИ БЫЛО ИСПОЛЬЗОВАНО В ПРОШЛОМ ХОДУ
razor_name;Razor;Бритва
razor_desc;{} HARM, +1 POWER TO SELF;{} ВРЕДА, +1 МОЩЬ СЕБЕ
tennis_ball_name;Tennis Ball;Теннисный Мяч
tennis_ball_desc;{} HARM, +{} PER DIFFERENCE IN INITIATIVE;{} ВРЕДА, +{} ЗА КАЖДУЮ РАЗНИЦУ В ИНИЦИАТИВЕ
whistle_name;Whistle;Свисток
whistle_desc;{} HARM TO ALL ENEMIES;{} ВРЕДА ВСЕМ ВРАГАМ
winchester_name;Winchester;Винчестер
winchester_desc;{} HARM, {} HARM TO OTHER RANDOM TARGET;{} ВРЕДА, {} ВРЕДА ДРУГОЙ СЛУЧАЙНОЙ ЦЕЛИ
anvil_name;Anvil;Наковальня
anvil_desc;ACTION: EACH {} RECEIVED HARM WILL GRANT {} POWER (LASTS {} TURNS);ДЕЙСТВИЕ: КАЖДЫЕ ПОЛУЧЕННЫЕ {} ВРЕДА ПРИНЕСУТ {} МОЩЬ (ДЛИТСЯ {} ХОД.)
cowboy_hat_name;Cowboy Hat;Ковбойская Шляпа
cowboy_hat_desc;ACTION: SHIELD 1 TURN TO ALL;ДЕЙСТВИЕ: ЩИТ 1 ХОД ВСЕМ
crown_name;Crown;Корона
crown_desc;ACTION: -{} INITIATIVE;ДЕЙСТВИЕ: -{} ИНИЦИАТИВЫ
helmet_name;Helmet;Каска
helmet_desc;ACTION: SHIELD {} TURNS;ДЕЙСТВИЕ: ЩИТ {} ХОД.
jester_hat_name;Jester Hat;Шляпа Шута
jester_hat_desc;ACTION: BLASPHEMY {} TURNS;ДЕЙСТВИЕ: КОЩУНСТВО {} ХОД.
no_hat_name;Head Empty;Пустоголовие
no_hat_desc;ACTION: +{} INITIATIVE, HEAL {} HEALTH;ДЕЙСТВИЕ: +{} ИНИЦИАТИВЫ, ЛЕЧИТЬ {} ЗДОРОВЬЯ
wizard_hat_name;Wizard Hat;Шляпа Колдуна
wizard_hat_desc;ACTION: HEAL {} HEALTH;ДЕЙСТВИЕ: ВЫЛЕЧИТЬ {} ЗДОРОВЬЯ
alcohol_name;Alcohol;Алкоголь
alcohol_desc;START TURN: +{} POWER, LOSE {} HEALTH;НАЧАЛО ХОДА: +{} МОЩЬ, ПОТЕРЯ {} ЗДРАВИЙ
bomb_name;Bomb;Бомба
